epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1787.98,1.50644,0.92077,1.29662,0.79245,0.80131,0.82601,0.41809,1.46527,0.80548,1.36162,0.00107205,0.00107205,0.00107205
43,1829.62,1.48448,0.89166,1.2894,0.81003,0.78864,0.8263,0.4184,1.49535,0.7911,1.38388,0.00104705,0.00104705,0.00104705
44,1871.45,1.49288,0.91616,1.28932,0.82544,0.8121,0.84691,0.42597,1.48606,0.76581,1.38086,0.00102184,0.00102184,0.00102184
45,1913.39,1.51969,0.89623,1.27755,0.82598,0.79558,0.84294,0.43176,1.46998,0.75501,1.36569,0.000996456,0.000996456,0.000996456
46,1955.43,1.49679,0.88396,1.27771,0.8178,0.80159,0.83296,0.41893,1.46924,0.77886,1.35924,0.000970919,0.000970919,0.000970919
47,1997.07,1.47523,0.87132,1.25828,0.83285,0.79775,0.83275,0.42608,1.49258,0.74681,1.37766,0.000945256,0.000945256,0.000945256
48,2038.57,1.49423,0.88755,1.28334,0.80203,0.78608,0.81769,0.42223,1.45923,0.77178,1.35223,0.00091949,0.00091949,0.00091949
49,2080.88,1.47503,0.89136,1.28967,0.78805,0.76966,0.79604,0.41176,1.46397,0.78831,1.36958,0.000893648,0.000893648,0.000893648
50,2124.35,1.46929,0.87528,1.27676,0.81226,0.78737,0.82776,0.42191,1.47106,0.76273,1.38129,0.000867754,0.000867754,0.000867754
51,2166.76,1.48332,0.87474,1.26522,0.82026,0.82493,0.85094,0.43425,1.45798,0.73775,1.34903,0.000841835,0.000841835,0.000841835
52,2208.78,1.48802,0.87058,1.27516,0.8072,0.77293,0.81413,0.41696,1.48403,0.77146,1.37973,0.000815916,0.000815916,0.000815916
53,2251.24,1.46444,0.87219,1.26941,0.81505,0.78496,0.81266,0.41562,1.4854,0.77231,1.38099,0.000790022,0.000790022,0.000790022
54,2293.58,1.48603,0.88045,1.2695,0.82824,0.8007,0.83435,0.4233,1.46607,0.77195,1.36176,0.00076418,0.00076418,0.00076418
55,2335.84,1.48382,0.86837,1.26869,0.83546,0.80847,0.83412,0.42715,1.45376,0.74531,1.35921,0.000738414,0.000738414,0.000738414
56,2378.8,1.48101,0.85486,1.26241,0.81919,0.80661,0.83208,0.4293,1.46494,0.72823,1.36676,0.000712751,0.000712751,0.000712751
57,2421.54,1.48219,0.85641,1.27004,0.83473,0.80656,0.83571,0.43338,1.4298,0.71905,1.33697,0.000687214,0.000687214,0.000687214
58,2464.27,1.48491,0.85725,1.26006,0.85214,0.84212,0.87053,0.44309,1.44315,0.7144,1.35079,0.000661831,0.000661831,0.000661831
59,2506.7,1.43839,0.82055,1.25203,0.84253,0.83001,0.84704,0.4386,1.4519,0.70568,1.35716,0.000636625,0.000636625,0.000636625
60,2549.1,1.45471,0.83968,1.26498,0.82715,0.82452,0.84597,0.42867,1.46466,0.73182,1.36398,0.000611621,0.000611621,0.000611621
61,2591.93,1.43793,0.8268,1.2587,0.83053,0.8006,0.82995,0.4311,1.44718,0.73073,1.353,0.000586845,0.000586845,0.000586845
62,2635.34,1.43436,0.82923,1.23216,0.82605,0.79906,0.82861,0.42856,1.4674,0.71504,1.36958,0.00056232,0.00056232,0.00056232
63,2680.14,1.4378,0.83646,1.24383,0.84112,0.80118,0.83759,0.42932,1.45027,0.72182,1.35526,0.000538072,0.000538072,0.000538072
64,2724.94,1.41758,0.80925,1.24489,0.83469,0.78422,0.82935,0.43139,1.45393,0.71898,1.35963,0.000514122,0.000514122,0.000514122
65,2768.01,1.45036,0.82795,1.25867,0.85133,0.82629,0.85972,0.44387,1.43722,0.70231,1.34149,0.000490497,0.000490497,0.000490497
66,2810.81,1.3916,0.80254,1.24238,0.82276,0.80312,0.84091,0.43648,1.42204,0.70898,1.33064,0.000467218,0.000467218,0.000467218
